Hydrophobicity,Polarity,Class
-18,8,RNA
-12,14,RNA
16,29,RNA
-6,8,RNA
-45,13,RNA
-62,6,RNA
-35,13,RNA
-39,21,RNA
-37,22,RNA
0,10,RNA
-5,10,RNA
-26,19,RNA
-48,4,RNA
-7,5,RNA
-11,-1,RNA
-12,45,RNA
10,37,RNA
-22,23,RNA
-37,20,RNA
7,2,RNA
11,-8,RNA
-32,-2,RNA
-25,11,RNA
2,-8,RNA
-74,11,RNA
-15,1,RNA
-22,7,RNA
-11,-5,RNA
-111,10,RNA
4,5,RNA
-19,9,RNA
-17,7,RNA
-12,23,RNA
-15,3,RNA
-14,4,RNA
-4,10,RNA
24,-9,RNA
-22,14,RNA
-5,12,RNA
-90,-5,RNA
8,3,RNA
-4,5,RNA
-94,23,RNA
20,12,RNA
0,10,RNA
-63,62,RNA
-29,11,RNA
-5,-5,RNA
13,0,RNA
0,-10,RNA
9,12,RNA
28,-7,RNA
-1,-9,RNA
-2,12,RNA
-22,4,RNA
15,12,RNA
-5,5,RNA
25,7,RNA
-5,10,RNA
0,0,RNA
-14,13,RNA
-23,-21,RNA
-15,7,RNA
-41,9,RNA
-24,19,RNA
4,-1,RNA
-8,6,RNA
-13,2,RNA
8,5,RNA
-39,16,RNA
33,-18,RNA
-8,12,RNA
-18,-26,RNA
4,-4,RNA
-40,19,RNA
8,-23,RNA
38,10,RNA
-26,-6,RNA
3,4,RNA
-5,15,RNA
2,7,RNA
7,10,RNA
8,0,RNA
-12,-22,RNA
-11,2,RNA
-4,6,RNA
-3,0,RNA
26,25,RNA
7,14,RNA
8,-6,RNA
-4,10,RNA
-1,9,RNA
-17,18,RNA
-44,17,RNA
-2,2,RNA
-7,4,RNA
-4,6,RNA
-8,17,RNA
33,17,RNA
1,11,RNA
-33,17,RNA
3,14,RNA
-30,13,RNA
-29,8,RNA
14,11,RNA
-21,-1,RNA
21,3,RNA
-28,12,RNA
-2,3,RNA
-14,5,RNA
-28,2,RNA
10,16,RNA
29,20,RNA
-17,10,RNA
-15,10,RNA
-4,20,RNA
-4,8,RNA
-6,8,RNA
-5,-5,RNA
1,11,RNA
-37,8,RNA
-38,15,RNA
1,5,RNA
-7,21,RNA
-25,10,RNA
10,0,RNA
-32,6,RNA
-17,5,RNA
-16,7,RNA
-23,7,RNA
-46,1,RNA
-44,20,RNA
8,1,RNA
2,46,RNA
0,13,RNA
10,19,RNA
0,13,RNA
-18,17,RNA
3,17,RNA
5,3,RNA
-17,10,RNA
-22,-4,RNA
-11,18,RNA
-32,13,RNA
-24,8,RNA
-62,6,RNA
-67,-3,RNA
-11,26,RNA
-44,14,RNA
-53,-5,RNA
-9,8,RNA
7,13,RNA
-169,28,RNA
16,4,RNA
-13,-10,RNA
-7,5,RNA
10,5,RNA
-9,17,RNA
-14,14,RNA
5,17,RNA
-52,8,RNA
-23,4,RNA
-32,8,RNA
-2,21,RNA
-17,-3,RNA
-18,-2,RNA
-4,5,RNA
-6,-1,RNA
4,5,RNA
-10,5,RNA
-25,7,RNA
-63,3,RNA
-12,8,RNA
4,14,RNA
20,39,RNA
4,12,RNA
-34,9,RNA
-1,-1,RNA
-30,1,RNA
-10,-32,RNA
5,11,RNA
-5,30,RNA
8,27,RNA
-37,-3,RNA
1,15,RNA
5,5,RNA
-5,10,RNA
-15,-7,RNA
7,7,RNA
-7,0,RNA
-29,25,RNA
1,-1,RNA
-27,15,RNA
11,-8,RNA
-32,-2,RNA
-25,11,RNA
2,-8,RNA
-74,11,RNA
-15,1,RNA
-22,7,RNA
-11,-5,RNA
-111,10,RNA
4,5,RNA
-10,6,RNA
-17,6,RNA
-10,23,RNA
-15,3,RNA
-14,4,RNA
-4,10,RNA
23,-9,RNA
-22,14,RNA
-5,12,RNA
-90,-5,RNA
8,3,RNA
-4,5,RNA
-94,23,RNA
20,12,RNA
0,10,RNA
-63,62,RNA
-29,11,RNA
-5,-5,RNA
13,0,RNA
0,-10,RNA
9,12,RNA
28,-7,RNA
-1,-9,RNA
-2,12,RNA
-22,4,RNA
15,12,RNA
-5,5,RNA
25,7,RNA
-5,10,RNA
0,0,RNA
-14,13,RNA
-23,-21,RNA
-15,7,RNA
-41,9,RNA
-24,19,RNA
4,-1,RNA
-8,6,RNA
-13,2,RNA
8,5,RNA
-39,16,RNA
33,-18,RNA
-8,12,RNA
-18,-26,RNA
3,-4,RNA
-40,19,RNA
8,-23,RNA
38,10,RNA
-26,-6,RNA
3,4,RNA
-5,15,RNA
2,7,RNA
7,10,RNA
8,0,RNA
-12,-22,RNA
-11,2,RNA
-4,6,RNA
-3,0,RNA
26,25,RNA
7,14,RNA
7,-6,RNA
-4,10,RNA
-2,7,RNA
-17,18,RNA
-44,17,RNA
-2,2,RNA
-7,4,RNA
-4,6,RNA
-8,17,RNA
33,17,RNA
1,10,RNA
-33,17,RNA
3,14,RNA
-30,13,RNA
-29,8,RNA
14,11,RNA
-21,-1,RNA
21,3,RNA
-28,12,RNA
-2,3,RNA
-14,5,RNA
-28,2,RNA
10,16,RNA
29,20,RNA
-17,10,RNA
-15,10,RNA
-4,20,RNA
-4,8,RNA
-6,8,RNA
-5,-5,RNA
1,11,RNA
-37,8,RNA
-38,15,RNA
1,5,RNA
-15,20,RNA
-25,10,RNA
10,0,RNA
-32,6,RNA
-17,5,RNA
-16,7,RNA
-25,7,RNA
-46,1,RNA
-44,20,RNA
8,1,RNA
2,46,RNA
0,13,RNA
10,19,RNA
0,13,RNA
-18,17,RNA
3,17,RNA
5,3,RNA
-17,10,RNA
-22,-4,RNA
-11,18,RNA
-32,13,RNA
-24,8,RNA
-62,6,RNA
-67,-3,RNA
-11,26,RNA
-44,14,RNA
-53,-5,RNA
-9,8,RNA
7,13,RNA
-169,28,RNA
16,4,RNA
-13,-10,RNA
-7,5,RNA
10,5,RNA
-9,17,RNA
-14,14,RNA
5,17,RNA
-52,8,RNA
-23,4,RNA
-32,8,RNA
-2,21,RNA
-17,-3,RNA
-18,-2,RNA
-4,5,RNA
-6,-1,RNA
4,5,RNA
-10,5,RNA
-25,7,RNA
-63,3,RNA
-12,8,RNA
4,14,RNA
20,39,RNA
4,12,RNA
-34,9,RNA
-1,-1,RNA
-30,1,RNA
-10,-32,RNA
5,11,RNA
-5,30,RNA
8,27,RNA
-37,-3,RNA
1,15,RNA
5,5,RNA
-5,10,RNA
-15,-7,RNA
7,7,RNA
-7,0,RNA
-29,25,RNA
1,-1,RNA
-27,15,RNA
42,46,DRNA
27,15,DRNA
-24,9,DRNA
-116,79,DRNA
-48,5,DRNA
-6,4,DRNA
-160,8,DRNA
-154,10,DRNA
12,-13,DRNA
-48,9,DRNA
-73,-37,DRNA
-5,-5,DRNA
-2,48,DRNA
3,5,DRNA
-124,7,DRNA
-44,16,DRNA
-20,1,DRNA
-67,-8,DRNA
-614,96,DRNA
-16,17,DRNA
-2,14,DRNA
-7,14,DRNA
-23,15,DRNA
-23,15,DRNA
-33,-2,nonDRNA
-6,-9,nonDRNA
-23,9,nonDRNA
0,0,nonDRNA
-21,0,nonDRNA
-47,9,nonDRNA
1,-2,nonDRNA
-1,-2,nonDRNA
-3,0,nonDRNA
-3,2,nonDRNA
-1,0,nonDRNA
-47,-8,nonDRNA
0,11,nonDRNA
-11,-6,nonDRNA
-8,1,nonDRNA
-24,-6,nonDRNA
-10,3,nonDRNA
-12,4,nonDRNA
-7,6,nonDRNA
-4,-3,nonDRNA
-70,10,nonDRNA
-19,13,nonDRNA
-2,9,nonDRNA
-17,4,nonDRNA
-8,-7,nonDRNA
-38,6,nonDRNA
-68,-5,nonDRNA
-55,-2,nonDRNA
-6,-4,nonDRNA
-60,3,nonDRNA
-115,15,nonDRNA
-111,15,nonDRNA
-30,7,nonDRNA
-32,4,nonDRNA
-15,5,nonDRNA
-97,1,nonDRNA
-43,10,nonDRNA
-19,19,nonDRNA
-27,1,nonDRNA
-12,5,nonDRNA
-16,-1,nonDRNA
0,9,nonDRNA
1,7,nonDRNA
10,5,nonDRNA
-29,5,nonDRNA
-19,-4,nonDRNA
-149,7,nonDRNA
-69,12,nonDRNA
-59,-8,nonDRNA
-71,1,nonDRNA
-24,16,nonDRNA
-17,0,nonDRNA
-21,8,nonDRNA
0,2,nonDRNA
-18,1,nonDRNA
1,0,nonDRNA
-22,-10,nonDRNA
-28,2,nonDRNA
-11,3,nonDRNA
-58,18,nonDRNA
-98,-40,nonDRNA
-13,-3,nonDRNA
-12,1,nonDRNA
-16,0,nonDRNA
9,3,nonDRNA
17,4,nonDRNA
-24,6,nonDRNA
-24,6,nonDRNA
-23,6,nonDRNA
-4,-5,nonDRNA
2,-1,nonDRNA
-14,6,nonDRNA
-25,-7,nonDRNA
-127,7,nonDRNA
-11,-1,nonDRNA
-21,-4,nonDRNA
-11,9,nonDRNA
-9,8,nonDRNA
-19,-1,nonDRNA
-2,4,nonDRNA
-42,4,nonDRNA
-9,-6,nonDRNA
-3,-1,nonDRNA
-12,32,nonDRNA
-114,1,nonDRNA
-11,-13,nonDRNA
25,6,nonDRNA
19,3,nonDRNA
-3,-3,nonDRNA
-1,-4,nonDRNA
-55,-32,nonDRNA
-10,13,nonDRNA
-20,4,nonDRNA
-13,14,nonDRNA
-49,3,nonDRNA
-27,4,nonDRNA
3,1,nonDRNA
-43,-2,nonDRNA
-41,47,nonDRNA
-95,-1,nonDRNA
-47,6,nonDRNA
-24,7,nonDRNA
20,7,nonDRNA
-50,-3,nonDRNA
-25,-8,nonDRNA
-3,-10,nonDRNA
-92,-1,nonDRNA
-149,7,nonDRNA
-47,9,nonDRNA
-61,-2,nonDRNA
-62,-6,nonDRNA
-7,7,nonDRNA
-53,12,nonDRNA
-17,7,nonDRNA
-5,11,nonDRNA
-147,8,nonDRNA
-41,2,nonDRNA
-8,3,nonDRNA
-54,8,nonDRNA
-16,5,nonDRNA
-4,7,nonDRNA
-27,-3,nonDRNA
-2,3,nonDRNA
-18,5,nonDRNA
-5,15,nonDRNA
-22,0,nonDRNA
-56,5,nonDRNA
-43,4,nonDRNA
21,3,nonDRNA
-27,-4,nonDRNA
-14,1,nonDRNA
-34,2,nonDRNA
-34,3,nonDRNA
40,3,nonDRNA
-16,6,nonDRNA
20,-4,nonDRNA
-80,22,nonDRNA
-18,2,nonDRNA
-27,1,nonDRNA
7,11,nonDRNA
-38,3,nonDRNA
-15,6,nonDRNA
-37,10,nonDRNA
-67,-11,nonDRNA
-59,1,nonDRNA
-14,4,nonDRNA
-7,9,nonDRNA
-16,9,nonDRNA
1,8,nonDRNA
-75,0,nonDRNA
13,3,nonDRNA
-19,-7,nonDRNA
-89,-3,nonDRNA
13,-2,nonDRNA
-9,3,nonDRNA
-52,-28,nonDRNA
-25,3,nonDRNA
-62,4,nonDRNA
-36,10,nonDRNA
-84,12,nonDRNA
-39,7,nonDRNA
-57,12,nonDRNA
-99,18,nonDRNA
-81,18,nonDRNA
-2,10,nonDRNA
-30,-12,nonDRNA
-77,13,nonDRNA
-86,15,nonDRNA
-51,-8,nonDRNA
60,-55,nonDRNA
-4,1,nonDRNA
1,5,nonDRNA
7,5,nonDRNA
-25,-2,nonDRNA
-18,6,nonDRNA
9,-32,nonDRNA
-46,-2,nonDRNA
-15,7,nonDRNA
-2,0,nonDRNA
-131,17,nonDRNA
-84,8,nonDRNA
-65,0,nonDRNA
-48,-18,nonDRNA
-61,1,nonDRNA
4,20,nonDRNA
-81,14,nonDRNA
-41,18,nonDRNA
559,72,nonDRNA
-5,9,nonDRNA
-71,3,nonDRNA
-66,12,nonDRNA
-153,2,nonDRNA
20,13,nonDRNA
20,13,nonDRNA
-65,6,nonDRNA
-30,8,nonDRNA
-30,15,nonDRNA
-35,15,nonDRNA
-36,7,nonDRNA
-175,18,nonDRNA
-30,3,nonDRNA
-90,-10,nonDRNA
-33,-1,nonDRNA
-11,0,nonDRNA
8,0,nonDRNA
-126,21,nonDRNA
-37,-3,nonDRNA
-38,9,nonDRNA
16,0,nonDRNA
25,11,nonDRNA
13,-13,nonDRNA
-54,14,nonDRNA
-51,5,nonDRNA
-57,10,nonDRNA
-30,0,nonDRNA
-7,26,nonDRNA
-21,-3,nonDRNA
0,0,nonDRNA
-49,21,nonDRNA
-54,21,nonDRNA
-187,24,nonDRNA
7,-3,nonDRNA
-71,16,nonDRNA
-17,0,nonDRNA
-70,3,nonDRNA
-90,-18,nonDRNA
3,-2,nonDRNA
-16,-7,nonDRNA
123,5,nonDRNA
-47,-1,nonDRNA
-42,13,nonDRNA
-44,9,nonDRNA
-23,20,nonDRNA
-49,16,nonDRNA
-130,-3,nonDRNA
-40,6,nonDRNA
-15,6,nonDRNA
-68,4,nonDRNA
-32,20,nonDRNA
-50,13,nonDRNA
-22,22,nonDRNA
-28,24,nonDRNA
-36,23,nonDRNA
-57,12,nonDRNA
-61,9,nonDRNA
-69,10,nonDRNA
-37,13,nonDRNA
-59,-5,nonDRNA
-59,2,nonDRNA
18,1,nonDRNA
-69,13,nonDRNA
-59,-3,nonDRNA
8,21,nonDRNA
-4,21,nonDRNA
-67,16,nonDRNA
-60,1,nonDRNA
-4,9,nonDRNA
-67,3,nonDRNA
-34,27,nonDRNA
77,36,nonDRNA
-31,7,nonDRNA
-32,13,nonDRNA
11,15,nonDRNA
-102,2,nonDRNA
-12,18,nonDRNA
-28,6,nonDRNA
-104,8,nonDRNA
-21,3,nonDRNA
-50,13,nonDRNA
-14,-1,nonDRNA
-36,9,nonDRNA
-33,1,nonDRNA
-460,53,nonDRNA
-28,2,nonDRNA
-76,-3,nonDRNA
-44,6,nonDRNA
-47,7,nonDRNA
-45,5,nonDRNA
-27,3,nonDRNA
-52,-6,nonDRNA
-29,-4,nonDRNA
-44,9,nonDRNA
-51,7,nonDRNA
-28,17,nonDRNA
-40,-3,nonDRNA
-30,-18,nonDRNA
24,47,nonDRNA
-38,-1,nonDRNA
-25,-2,nonDRNA
-19,33,nonDRNA
-144,54,nonDRNA
7,12,nonDRNA
-36,3,nonDRNA
-77,-1,nonDRNA
-43,2,nonDRNA
-42,11,nonDRNA
-62,5,nonDRNA
-11,-4,nonDRNA
-55,7,nonDRNA
-71,7,nonDRNA
-1,9,nonDRNA
-23,6,nonDRNA
7,-10,nonDRNA
-50,8,nonDRNA
-23,4,nonDRNA
-25,1,nonDRNA
-15,-9,nonDRNA
-78,3,nonDRNA
-16,2,nonDRNA
88,-22,nonDRNA
14,-21,nonDRNA
-15,17,nonDRNA
40,-17,nonDRNA
46,6,nonDRNA
40,7,nonDRNA
161,35,nonDRNA
-79,4,nonDRNA
-19,28,nonDRNA
-29,8,nonDRNA
-26,6,nonDRNA
-73,19,nonDRNA
-19,2,nonDRNA
-37,1,nonDRNA
-60,2,nonDRNA
-13,-2,nonDRNA
-21,0,nonDRNA
-19,0,nonDRNA
-51,8,nonDRNA
-20,7,nonDRNA
-438,-48,nonDRNA
-13,-2,nonDRNA
-21,-1,nonDRNA
-23,-1,nonDRNA
-231,43,nonDRNA
-239,35,nonDRNA
-705,38,nonDRNA
-77,46,nonDRNA
-17,7,nonDRNA
-57,0,nonDRNA
-24,-1,nonDRNA
-220,21,nonDRNA
-9,6,nonDRNA
-230,18,nonDRNA
-10,5,nonDRNA
-2,25,nonDRNA
-103,14,nonDRNA
-25,9,nonDRNA
-16,12,nonDRNA
-22,15,nonDRNA
1,-4,nonDRNA
32,41,nonDRNA
32,41,nonDRNA
5,1,nonDRNA
-33,-47,nonDRNA
303,67,nonDRNA
-129,9,nonDRNA
-35,-7,nonDRNA
19,7,nonDRNA
-22,6,nonDRNA
-20,6,nonDRNA
-117,2,nonDRNA
11,-1,nonDRNA
-27,-4,nonDRNA
-31,9,nonDRNA
-31,9,nonDRNA
18,-1,nonDRNA
-53,-7,nonDRNA
7,11,nonDRNA
-7,-8,nonDRNA
-41,3,nonDRNA
10,-26,nonDRNA
3,-11,nonDRNA
17,-17,nonDRNA
-30,5,nonDRNA
-47,3,nonDRNA
-41,3,nonDRNA
-65,45,nonDRNA
-27,19,nonDRNA
-39,-11,nonDRNA
-69,6,nonDRNA
-75,6,nonDRNA
-173,-9,nonDRNA
-21,3,nonDRNA
29,-17,nonDRNA
-10,2,nonDRNA
17,-24,nonDRNA
-34,-1,nonDRNA
-18,-3,nonDRNA
-89,4,nonDRNA
-41,-5,nonDRNA
-41,-4,nonDRNA
-52,4,nonDRNA
13,-22,nonDRNA
13,-22,nonDRNA
-85,0,nonDRNA
-15,3,nonDRNA
-3,-12,nonDRNA
24,-7,nonDRNA
-14,-2,nonDRNA
-1,-1,nonDRNA
-27,20,nonDRNA
-12,-5,nonDRNA
3,-17,nonDRNA
-17,-9,nonDRNA
-69,-17,nonDRNA
-271,-54,nonDRNA
0,9,nonDRNA
0,11,nonDRNA
-5,-1,nonDRNA
21,-4,nonDRNA
-32,-3,nonDRNA
-32,4,nonDRNA
-28,4,nonDRNA
-11,-1,nonDRNA
-78,-5,nonDRNA
-138,9,nonDRNA
8,8,nonDRNA
-53,-4,nonDRNA
4,-6,nonDRNA
-2,-9,nonDRNA
-49,18,nonDRNA
-34,10,nonDRNA
-16,0,nonDRNA
-7,-5,nonDRNA
11,-2,nonDRNA
-32,7,nonDRNA
-6,5,nonDRNA
-33,3,nonDRNA
-2,14,nonDRNA
-3,-1,nonDRNA
145,86,nonDRNA
-51,1,nonDRNA
-59,-12,nonDRNA
-3,-10,nonDRNA
-36,-15,nonDRNA
10,-4,nonDRNA
-8,-17,nonDRNA
42,-9,nonDRNA
-11,-13,nonDRNA
-143,9,nonDRNA
-1,4,nonDRNA
1,4,nonDRNA
-1,4,nonDRNA
0,-4,nonDRNA
-72,-2,nonDRNA
-80,1,nonDRNA
-21,-14,nonDRNA
-84,3,nonDRNA
4,1,nonDRNA
-6,-11,nonDRNA
-84,5,nonDRNA
-24,7,nonDRNA
-16,5,nonDRNA
-84,12,nonDRNA
-34,23,nonDRNA
0,4,nonDRNA
-51,1,nonDRNA
-60,5,nonDRNA
-8,32,nonDRNA
2,16,nonDRNA
-33,1,nonDRNA
-54,4,nonDRNA
-208,-20,nonDRNA
-35,-5,nonDRNA
-56,-25,nonDRNA
-34,3,nonDRNA
-56,-3,nonDRNA
-16,-2,nonDRNA
-55,-3,nonDRNA
-43,96,nonDRNA
-75,-10,nonDRNA
-31,-5,nonDRNA
-126,0,nonDRNA
-43,-3,nonDRNA
-56,3,nonDRNA
-83,40,nonDRNA
0,2,nonDRNA
10,-6,nonDRNA
-15,0,nonDRNA
-135,-5,nonDRNA
-86,3,nonDRNA
-19,5,nonDRNA
10,-5,nonDRNA
-45,-2,nonDRNA
-11,8,nonDRNA
2,-23,nonDRNA
32,23,nonDRNA
-12,0,nonDRNA
2,-22,nonDRNA
-22,-2,nonDRNA
76,-21,nonDRNA
-12,8,nonDRNA
17,39,nonDRNA
-7,14,nonDRNA
-30,3,nonDRNA
-21,-67,nonDRNA
12,17,nonDRNA
-42,-2,nonDRNA
79,13,nonDRNA
0,2,nonDRNA
-66,20,nonDRNA
-27,-2,nonDRNA
-69,-22,nonDRNA
3,0,nonDRNA
-132,34,nonDRNA
-126,4,nonDRNA
-82,-7,nonDRNA
-15,-6,nonDRNA
156,17,nonDRNA
-93,5,nonDRNA
6,1,nonDRNA
10,1,nonDRNA
-25,13,nonDRNA
1,2,nonDRNA
-61,1,nonDRNA
-37,-4,nonDRNA
-53,-6,nonDRNA
-27,4,nonDRNA
-71,-10,nonDRNA
-83,2,nonDRNA
-41,0,nonDRNA
-74,8,nonDRNA
-121,3,nonDRNA
-34,9,nonDRNA
-53,-4,nonDRNA
-53,-2,nonDRNA
-87,-5,nonDRNA
-91,-13,nonDRNA
-46,-12,nonDRNA
-55,21,nonDRNA
6,4,nonDRNA
-28,-11,nonDRNA
-15,8,nonDRNA
4,3,nonDRNA
-30,0,nonDRNA
-16,12,nonDRNA
39,37,nonDRNA
-31,3,nonDRNA
43,4,nonDRNA
26,-2,nonDRNA
-43,5,nonDRNA
14,10,nonDRNA
-36,2,nonDRNA
5,3,nonDRNA
-30,2,nonDRNA
-10,-2,nonDRNA
-13,8,nonDRNA
-9,-2,nonDRNA
-60,-1,nonDRNA
-11,3,nonDRNA
-49,4,nonDRNA
-39,10,nonDRNA
-30,-25,nonDRNA
-2,4,nonDRNA
-57,-3,nonDRNA
-97,18,nonDRNA
-95,18,nonDRNA
-28,8,nonDRNA
-23,8,nonDRNA
-24,8,nonDRNA
-21,-1,nonDRNA
-29,0,nonDRNA
-89,22,nonDRNA
-45,-3,nonDRNA
-59,-3,nonDRNA
-5,16,nonDRNA
-24,1,nonDRNA
-10,7,nonDRNA
-15,0,nonDRNA
-34,7,nonDRNA
10,8,nonDRNA
-78,15,nonDRNA
-16,-2,nonDRNA
3,-5,nonDRNA
-1,-5,nonDRNA
-50,11,nonDRNA
-77,6,nonDRNA
-13,10,nonDRNA
-90,-6,nonDRNA
-4,2,nonDRNA
-19,8,nonDRNA
-20,5,nonDRNA
8,14,nonDRNA
2,10,nonDRNA
-56,9,nonDRNA
-48,1,nonDRNA
-20,13,nonDRNA
-31,1,nonDRNA
-43,-2,nonDRNA
-31,-8,nonDRNA
-5,3,nonDRNA
-21,1,nonDRNA
-12,-1,nonDRNA
2,-1,nonDRNA
-94,24,nonDRNA
-73,-13,nonDRNA
-34,-2,nonDRNA
-18,4,nonDRNA
-34,1,nonDRNA
-20,21,nonDRNA
-26,21,nonDRNA
-43,8,nonDRNA
-26,4,nonDRNA
-43,1,nonDRNA
-36,-6,nonDRNA
-11,20,nonDRNA
-113,-7,nonDRNA
-13,9,nonDRNA
-27,7,nonDRNA
-56,15,nonDRNA
-74,6,nonDRNA
89,57,nonDRNA
-3,-5,nonDRNA
-67,4,nonDRNA
84,-19,nonDRNA
-15,0,nonDRNA
-96,8,nonDRNA
9,-3,nonDRNA
-49,2,nonDRNA
-85,-24,nonDRNA
-98,-6,nonDRNA
-45,14,nonDRNA
-16,7,nonDRNA
-32,10,nonDRNA
-12,7,nonDRNA
-20,7,nonDRNA
-11,42,nonDRNA
-129,6,nonDRNA
-143,9,nonDRNA
-31,-4,nonDRNA
-53,11,nonDRNA
-39,0,nonDRNA
-35,-5,nonDRNA
-19,6,nonDRNA
-2,4,nonDRNA
-10,0,nonDRNA
-11,15,nonDRNA
-327,31,nonDRNA
3,-6,nonDRNA
-18,-19,nonDRNA
-53,-8,nonDRNA
16,3,nonDRNA
5,6,nonDRNA
-73,-4,nonDRNA
-48,11,nonDRNA
-48,10,nonDRNA
-35,11,nonDRNA
-17,-4,nonDRNA
-5,1,nonDRNA
-90,-1,nonDRNA
-6,-5,nonDRNA
24,1,nonDRNA
-4,2,nonDRNA
-6,8,nonDRNA
-12,11,nonDRNA
-22,12,nonDRNA
-68,0,nonDRNA
-97,-18,nonDRNA
-21,-3,nonDRNA
-2,26,nonDRNA
-25,-4,nonDRNA
6,5,nonDRNA
-29,-6,nonDRNA
-44,-10,nonDRNA
-43,-6,nonDRNA
-74,-1,nonDRNA
-60,-30,nonDRNA
-51,1,nonDRNA
18,68,nonDRNA
153,64,nonDRNA
18,76,nonDRNA
-19,8,nonDRNA
-43,1,nonDRNA
-7,2,nonDRNA
-48,-1,nonDRNA
-36,10,nonDRNA
-224,-32,nonDRNA
-50,-1,nonDRNA
-42,1,nonDRNA
-1132,94,nonDRNA
-27,-8,nonDRNA
-22,-5,nonDRNA
-22,3,nonDRNA
-43,4,nonDRNA
-57,-12,nonDRNA
5,-5,nonDRNA
-37,2,nonDRNA
-59,16,nonDRNA
-24,6,nonDRNA
-62,0,nonDRNA
-64,6,nonDRNA
-130,15,nonDRNA
-75,-1,nonDRNA
-61,4,nonDRNA
-28,15,nonDRNA
-55,6,nonDRNA
5,1,nonDRNA
7,4,nonDRNA
-12,2,nonDRNA
25,11,nonDRNA
11,22,nonDRNA
-44,3,nonDRNA
-9,4,nonDRNA
-23,-4,nonDRNA
-57,-2,nonDRNA
-86,2,nonDRNA
-63,2,nonDRNA
-1,24,nonDRNA
-27,36,nonDRNA
-27,35,nonDRNA
-48,-8,nonDRNA
-50,5,nonDRNA
3,7,nonDRNA
-57,8,nonDRNA
-8,-16,nonDRNA
-64,5,nonDRNA
-53,-7,nonDRNA
-56,4,nonDRNA
-10,-8,nonDRNA
-86,-19,nonDRNA
-5,27,nonDRNA
-40,-10,nonDRNA
1,-1,nonDRNA
-85,-1,nonDRNA
-10,15,nonDRNA
8,-9,nonDRNA
-115,0,nonDRNA
-61,3,nonDRNA
-51,5,nonDRNA
-53,12,nonDRNA
-17,0,nonDRNA
-25,6,nonDRNA
-10,9,nonDRNA
-23,1,nonDRNA
-56,-3,nonDRNA
-86,5,nonDRNA
-19,1,nonDRNA
-36,2,nonDRNA
-86,3,nonDRNA
-33,34,nonDRNA
-21,0,nonDRNA
-7,3,nonDRNA
-56,-6,nonDRNA
-46,8,nonDRNA
-8,-5,nonDRNA
-72,6,nonDRNA
-37,24,nonDRNA
-21,-4,nonDRNA
7,7,nonDRNA
-71,11,nonDRNA
-19,-3,nonDRNA
-32,3,nonDRNA
-38,8,nonDRNA
5,-5,nonDRNA
-35,4,nonDRNA
-33,5,nonDRNA
24,13,nonDRNA
-10,2,nonDRNA
-54,21,nonDRNA
-45,7,nonDRNA
-84,23,nonDRNA
-41,22,nonDRNA
-65,11,nonDRNA
-120,6,nonDRNA
-128,6,nonDRNA
-96,21,nonDRNA
-51,1,nonDRNA
-34,5,nonDRNA
-48,-11,nonDRNA
-78,2,nonDRNA
-3,2,nonDRNA
17,-5,nonDRNA
-20,8,nonDRNA
-58,1,nonDRNA
-10,0,nonDRNA
-124,-6,nonDRNA
-11,11,nonDRNA
-28,2,nonDRNA
-26,-3,nonDRNA
-54,20,nonDRNA
-27,60,nonDRNA
-15,-2,nonDRNA
-241,21,nonDRNA
-3,-10,nonDRNA
-42,10,nonDRNA
-7,-2,nonDRNA
-79,8,nonDRNA
-45,9,nonDRNA
-108,3,nonDRNA
-55,4,nonDRNA
-56,4,nonDRNA
-3,1,nonDRNA
-51,23,nonDRNA
5,-5,nonDRNA
-13,0,nonDRNA
-25,22,nonDRNA
-1,3,nonDRNA
-71,-2,nonDRNA
-61,-15,nonDRNA
-60,7,nonDRNA
-39,3,nonDRNA
-55,12,nonDRNA
-18,4,nonDRNA
-27,5,nonDRNA
-22,3,nonDRNA
-5,8,nonDRNA
-54,9,nonDRNA
-47,-19,nonDRNA
-93,2,nonDRNA
-26,-6,nonDRNA
-45,-7,nonDRNA
-9,-12,nonDRNA
-25,4,nonDRNA
-22,-2,nonDRNA
-45,3,nonDRNA
-40,1,nonDRNA
-48,-7,nonDRNA
13,1,nonDRNA
-8,0,nonDRNA
13,-5,nonDRNA
-157,0,nonDRNA
-6,5,nonDRNA
24,7,nonDRNA
-39,-9,nonDRNA
-121,9,nonDRNA
-52,8,nonDRNA
-48,0,nonDRNA
-19,1,nonDRNA
-11,8,nonDRNA
-39,2,nonDRNA
-48,9,nonDRNA
-50,-14,nonDRNA
-14,1,nonDRNA
-43,-8,nonDRNA
-18,2,nonDRNA
12,5,nonDRNA
4,4,nonDRNA
-39,-4,nonDRNA
5,-21,nonDRNA
-39,9,nonDRNA
-47,25,nonDRNA
-49,2,nonDRNA
-50,13,nonDRNA
-94,-1,nonDRNA
-4,9,nonDRNA
-22,1,nonDRNA
-106,12,nonDRNA
-27,0,nonDRNA
139,33,nonDRNA
-27,11,nonDRNA
-143,-24,nonDRNA
-61,44,nonDRNA
-47,3,nonDRNA
67,16,nonDRNA
-59,9,nonDRNA
-19,-9,nonDRNA
13,-6,nonDRNA
-55,-1,nonDRNA
-38,-3,nonDRNA
-18,6,nonDRNA
14,6,nonDRNA
-302,23,nonDRNA
14,10,nonDRNA
-17,-1,nonDRNA
