A_tfidf	C_tfidf	D_tfidf	E_tfidf	F_tfidf	G_tfidf	H_tfidf	I_tfidf	K_tfidf	L_tfidf	M_tfidf	N_tfidf	P_tfidf	Q_tfidf	R_tfidf	S_tfidf	T_tfidf	U_tfidf	V_tfidf	W_tfidf	X_tfidf	Y_tfidf	Z_tfidf
0.0	0.10215978129394147	0.00040002867230907123	0.0016730713387945427	0.0015866420626101648	0.0005136202450334663	0.021186612412629775	0.00024295765458880568	0.0017264126212567783	0.000566029997472355	0.0	0.0005437954733394665	0.001376760042669899	0.004428458089000422	0.005094093369100906	0.0016278531945027983	0.0011704453860861151	0.0	0.00028534458057414793	0.01605991500770647	0.0	0.0045428036687261515	0.0
0.0002242205312642357	0.01693459437665336	0.0008689511715158158	0.0006933448791400806	0.001757059173038664	0.00024793273556553743	0.00446684411699611	0.0009934268543186722	0.0010059230873189495	0.00038290264534894606	0.0006572648949897078	0.001667639451574364	0.004284153309249274	0.003043928663473853	0.0012452228235579992	0.0031200519561303632	0.0010067733483569998	0.0	0.0001020899499387507	0.001758943072272613	0.0	0.0027495916942289864	0.0
0.00035403241778563535	0.016711770766434236	0.0008070753915007577	0.001368443840408054	0.0012804479803520629	0.0006562925353205402	0.0205175614943362	0.00039214217933631793	0.001337515462363146	0.0005441248118116602	0.0005188933381497693	0.0008228484136057715	0.002646959710520146	0.002403101576426726	0.0016980311230336354	0.0014779193476406982	0.00024190206310637297	0.0	0.00013816684954116637	0.0027772785351672835	0.0	0.0020260149325897793	0.0
0.00031138640230324424	0.02332826776375718	0.000657189961650617	0.002292283069810063	0.0006206252965992141	0.0006562925353205402	0.004475131397361595	0.0018246615691567447	0.0014586425004087882	0.0008673917068108777	0.0004024070785651272	0.001914382023490979	0.004789736619036455	0.004085649932920164	0.002391105050802466	0.001782886832074493	0.0009245877688992858	0.0	0.0004553866571611912	0.029076405888588095	0.0	0.0013467387890101158	0.0
0.0004921914100922247	0.0122912378540226	0.002003369399225268	0.0011071152102398063	0.0017657790696790545	0.00031756090418735817	0.006484128556929839	0.0022532363127187624	0.0010759448981509986	0.0009819600098464908	0.0005565549514025751	0.0021181710776045346	0.003154530837806268	0.007307694744195914	0.002547046684550453	0.001258085466181598	0.0005400993067974088	0.0	0.00014819508862076714	0.045959480275510216	0.0	0.0037252532631489492	0.0
0.00024037254911480743	0.08861124964527921	0.0010698441236172834	0.0018865430432416148	0.002970341535816704	0.0003663028104114643	0.011898992785232768	0.0011695868488344832	0.003767594427412467	0.0006945675892376231	0.0006878353552217872	0.003926709173765217	0.0032488523578735645	0.005390857561429544	0.004738691506140378	0.0031200519561303632	0.0011910261047297168	0.0	0.0003510401933109866	0.011044526267758268	0.0	0.003836639573342772	0.0
0.00028218974178620886	0.02794208072147804	0.0018401318926217277	0.0022464374084138613	0.0024328511626689198	0.00037627438691710974	0.008771257538828726	0.0015646472955519089	0.0020965554872542317	0.0006585925500001873	0.0011173503214825032	0.0032518969305700093	0.0037998577177689214	0.004355159472354898	0.002581007307011126	0.0031200519561303632	0.0008929641872383826	0.0	0.00041127665546753856	0.02532878024072563	0.0	0.0017597386843065516	0.0
0.0002641027078543645	0.027880124888392723	0.002917282268790544	0.0024351625023456493	0.002225168746343524	0.00046420691522672356	0.0071311036901046555	0.0012266398658507995	0.0030216431634484493	0.0010086216023825897	0.0009618510658385968	0.0029742959730823257	0.0029984530054130657	0.00411187361670014	0.003106154493354211	0.0031200519561303632	0.0009608653377744432	0.0	0.0002240998901094528	0.034749850940019915	0.0	0.005633309812566704	0.0
0.0004921914100922247	0.00307280946350565	0.00333894899870878	0.002516170932363196	0.0006866918604307434	0.00026463408682279844	0.0017683986973445012	0.0018025890501750098	0.0026130090383667108	0.0008152120836461433	0.0005565549514025751	0.0007564896705730481	0.001622330145157509	0.0037388205667979097	0.0027113722771020953	0.0010064683729452783	0.000921345876301462	0.0	0.0002963901772415343	0.010213217839002269	0.0	0.002394805669167182	0.0
0.00013423402093424308	0.0	0.0016728471751106615	0.0031200519561303632	0.0011058414375767817	0.00029831478878206374	0.0033224460374351237	0.002540011843428423	0.0038985535920016707	0.0008354239534886096	0.0008962703113496016	0.003411080696402108	0.0010160047373713693	0.0	0.0013892981915729742	0.0011345643476837685	0.00035814071680683796	0.0	0.00017898887326923824	0.04317405722850959	0.0	0.0014997772877612654	0.0
0.0002424226348215435	0.0398089345421329	0.00315843533808207	0.0014901740685995765	0.0019063385976137055	0.00047997513777173835	0.009273095656721912	0.003002521462679569	0.0027024799360807596	0.0008572447283931629	0.001397914142328856	0.0032201620007079597	0.003586345080422818	0.0028307488144819993	0.0026610935510228612	0.0031200519561303632	0.0010877856100028585	0.0	0.00028406691827306964	0.00945103740325583	0.0	0.0036934813803075938	0.0
0.0004921914100922247	0.03680387698335176	0.0029797590306658655	0.001347295162874475	0.0017278772462137213	0.0002461097007452026	0.010382643866984762	0.0018415085864856068	0.0012995178640005567	0.0010964939389538002	0.0008962703113496016	0.003944062055214938	0.00323851510037124	0.004909133202892709	0.0035311329035813102	0.0027655005974791856	0.0009848869712188043	0.0	0.0002684833099038574	0.034179461972570095	0.0	0.003374498897462847	0.0
0.0004306674838306966	0.05953568335542197	0.002875206082221449	0.00253504221435592	0.002280797965002112	0.00041018283457533764	0.01598927155515653	0.0031432646562426737	0.00208464324016756	0.0011487079360468382	0.0006161858390528511	0.0011725589893882245	0.0010477548854142245	0.0032927112946231586	0.005094093369100906	0.0009750162362907385	0.0012311087140235053	0.0	0.0003691645511178039	0.04947027390766724	0.0	0.00206219377067174	0.0
0.0003999055206999326	0.11609458254307284	0.0023001648657771595	0.0017062784135087924	0.0015205319766680746	0.0005024739723547886	0.004568363301473295	0.0007858161640606684	0.0030525133159596415	0.0007358910215300058	0.0003851161494080319	0.0008794192420411683	0.005588026055542531	0.005432973636128212	0.004934902951316503	0.0017550292253233294	0.0009848869712188043	0.0	0.00029738255506711977	0.019788109563066897	0.0	0.00206219377067174	0.0
0.0002545817638408059	0.0	0.00031726411941753927	0.0003227639954617617	0.00010486427425297067	9.052310832007451e-05	0.0012602381521305641	0.0005780716609181929	0.004764898834668708	0.0001188318554531212	0.00016998230042837272	0.0004851968231951274	0.001541524429115181	0.0009083341502408714	0.000614804372132868	0.001129673984116166	0.0002037697181832009	0.0	0.00013578466248011177	0.0	0.0	0.0008533215602779613	0.0
